mpg,cylinders,displacement,horsepower,weight,acceleration,age
14.0,8,351.0,153.0,4129,13.0,53
26.0,4,108.0,93.0,2391,15.5,51
27.0,4,151.0,90.0,2735,18.0,43
16.0,6,250.0,100.0,3781,17.0,51
13.0,8,400.0,170.0,4746,12.0,54
33.0,4,91.0,53.0,1795,17.5,50
22.0,4,140.0,72.0,2408,19.0,54
17.0,6,250.0,100.0,3329,15.5,54
17.5,6,258.0,95.0,3193,17.8,49
25.0,4,113.0,95.0,2228,14.0,54
19.0,6,232.0,100.0,2901,16.0,51
31.5,4,98.0,68.0,2045,18.5,48
16.9,8,350.0,155.0,4360,14.9,46
32.1,4,98.0,70.0,2120,15.5,45
32.4,4,108.0,75.0,2350,16.8,44
23.0,6,198.0,95.0,2904,16.0,52
20.0,4,140.0,90.0,2408,19.5,53
26.0,4,98.0,90.0,2265,15.5,52
20.3,5,131.0,103.0,2830,15.9,47
28.0,4,90.0,75.0,2125,14.5,51
30.0,4,111.0,80.0,2155,14.8,48
33.0,4,91.0,53.0,1795,17.4,49
19.0,6,232.0,100.0,2634,13.0,54
32.7,6,168.0,132.0,2910,11.4,45
24.0,4,119.0,97.0,2545,17.0,50
17.5,6,250.0,110.0,3520,16.4,48
11.0,8,400.0,150.0,4997,14.0,52
32.9,4,119.0,100.0,2615,14.8,44
33.5,4,151.0,90.0,2556,13.2,46
22.0,6,198.0,95.0,2833,15.5,55
16.0,8,318.0,150.0,4190,13.0,49
32.0,4,135.0,84.0,2295,11.6,43
34.5,4,105.0,70.0,2150,14.9,46
19.0,4,120.0,88.0,3270,21.9,49
17.6,6,225.0,85.0,3465,16.6,44
15.0,8,350.0,165.0,3693,11.5,55
20.0,4,114.0,91.0,2582,14.0,52
34.1,4,91.0,68.0,1985,16.0,44
15.0,8,304.0,150.0,3892,12.5,53
15.5,8,351.0,142.0,4054,14.3,46
32.2,4,108.0,75.0,2265,15.2,45
24.3,4,151.0,90.0,3003,20.1,45
15.0,8,400.0,150.0,3761,9.5,55
9.0,8,304.0,193.0,4732,18.5,55
21.0,6,231.0,110.0,3039,15.0,50
43.4,4,90.0,48.0,2335,23.7,45
29.8,4,134.0,90.0,2711,15.5,45
15.0,8,318.0,150.0,3777,12.5,52
23.0,8,350.0,125.0,3900,17.4,46
29.0,4,68.0,49.0,1867,19.5,52
11.0,8,429.0,208.0,4633,11.0,53
11.0,8,350.0,180.0,3664,11.0,52
18.0,6,232.0,100.0,2945,16.0,52
32.0,4,71.0,65.0,1836,21.0,51
30.0,4,146.0,67.0,3250,21.8,45
35.0,4,72.0,69.0,1613,18.0,54
20.6,6,231.0,105.0,3380,15.8,47
15.0,6,250.0,72.0,3432,21.0,50
44.3,4,90.0,48.0,2085,21.7,45
29.0,4,98.0,83.0,2219,16.5,51
34.7,4,105.0,63.0,2215,14.9,44
30.0,4,98.0,68.0,2155,16.5,47
14.0,8,304.0,150.0,4257,15.5,51
14.0,8,351.0,148.0,4657,13.5,50
26.0,4,97.0,78.0,2300,14.5,51
29.0,4,97.0,75.0,2171,16.0,50
37.2,4,86.0,65.0,2019,16.4,45
15.0,8,390.0,190.0,3850,8.5,55
19.0,6,250.0,100.0,3282,15.0,54
28.0,4,151.0,90.0,2678,16.5,45
25.5,4,140.0,89.0,2755,15.8,48
32.0,4,85.0,70.0,1990,17.0,49
18.0,3,70.0,90.0,2124,13.5,52
13.0,8,400.0,190.0,4422,12.5,53
40.8,4,85.0,65.0,2110,19.2,45
20.0,4,97.0,88.0,2279,19.0,52
15.0,8,318.0,150.0,3399,11.0,52
36.1,4,91.0,60.0,1800,16.4,47
23.7,3,70.0,100.0,2420,12.5,45
24.0,4,113.0,95.0,2278,15.5,53
23.0,4,120.0,88.0,2957,17.0,50
20.0,6,225.0,100.0,3651,17.7,49
13.0,8,400.0,175.0,5140,12.0,54
25.1,4,140.0,88.0,2720,15.4,47
13.0,8,400.0,150.0,4464,12.0,52
31.6,4,120.0,74.0,2635,18.3,44
12.0,8,429.0,198.0,4952,11.5,52
31.0,4,119.0,82.0,2720,19.4,43
13.0,8,440.0,215.0,4735,11.0,52
16.0,6,225.0,105.0,3439,15.5,54
18.0,6,232.0,100.0,3288,15.5,54
34.1,4,86.0,65.0,1975,15.2,46
32.0,4,83.0,61.0,2003,19.0,51
12.0,8,455.0,225.0,4951,11.0,52
19.9,8,260.0,110.0,3365,15.5,47
24.0,4,134.0,96.0,2702,13.5,50
19.1,6,225.0,90.0,3381,18.7,45
21.0,4,140.0,72.0,2401,19.5,52
30.0,4,97.0,67.0,1985,16.4,48
24.0,4,116.0,75.0,2158,15.5,52
14.0,8,455.0,225.0,4425,10.0,55
29.9,4,98.0,65.0,2380,20.7,44
34.4,4,98.0,65.0,2045,16.2,44
31.5,4,89.0,71.0,1990,14.9,47
20.5,6,200.0,95.0,3155,18.2,47
25.0,4,140.0,92.0,2572,14.9,49
33.0,4,105.0,74.0,2190,14.2,44
35.1,4,81.0,60.0,1760,16.1,44
27.0,4,97.0,60.0,1834,19.0,54
36.0,4,98.0,70.0,2125,17.3,43
30.5,4,97.0,78.0,2190,14.1,48
20.8,6,200.0,85.0,3070,16.7,47
17.7,6,231.0,165.0,3445,13.4,47
27.9,4,156.0,105.0,2800,14.4,45
29.0,4,97.0,78.0,1940,14.5,48
22.0,4,121.0,76.0,2511,18.0,53
27.5,4,134.0,95.0,2560,14.2,47
16.2,6,163.0,133.0,3410,15.8,47
18.0,6,258.0,110.0,2962,13.5,54
18.0,6,232.0,100.0,2789,15.0,52
21.5,3,80.0,110.0,2720,13.5,48
24.0,4,113.0,95.0,2372,15.0,55
23.9,8,260.0,90.0,3420,22.2,46
20.2,8,302.0,139.0,3570,12.8,47
20.2,6,200.0,85.0,2965,15.8,47
31.3,4,120.0,75.0,2542,17.5,45
38.0,4,91.0,67.0,1965,15.0,43
16.0,6,258.0,110.0,3632,18.0,51
16.0,6,250.0,105.0,3897,18.5,50
31.8,4,85.0,65.0,2020,19.2,46
15.5,8,400.0,190.0,4325,12.2,48
13.0,8,350.0,165.0,4274,12.0,53
14.0,8,304.0,150.0,3672,11.5,52
10.0,8,360.0,215.0,4615,14.0,55
22.0,6,146.0,97.0,2815,14.5,48
29.0,4,90.0,70.0,1937,14.0,50
30.0,4,135.0,84.0,2385,12.9,44
20.0,6,198.0,95.0,3102,16.5,51
32.8,4,78.0,52.0,1985,19.4,47
21.0,6,200.0,85.0,2587,16.0,55
25.5,4,122.0,96.0,2300,15.5,48
46.6,4,86.0,65.0,2110,17.9,45
20.2,6,232.0,90.0,3265,18.2,46
36.0,4,105.0,74.0,1980,15.3,43
15.0,6,258.0,110.0,3730,19.0,50
37.0,4,85.0,65.0,1975,19.4,44
34.0,4,108.0,70.0,2245,16.9,43
20.0,6,156.0,122.0,2807,13.5,52
44.6,4,91.0,67.0,1850,13.8,45
30.7,6,145.0,76.0,3160,19.6,44
29.0,4,85.0,52.0,2035,22.2,49
12.0,8,383.0,180.0,4955,11.5,54
15.0,8,318.0,150.0,4135,13.5,53
22.0,4,122.0,86.0,2395,16.0,53
14.0,8,455.0,225.0,3086,10.0,55
37.0,4,91.0,68.0,2025,18.2,43
26.0,4,156.0,92.0,2585,14.5,43
24.0,6,200.0,81.0,3012,17.6,49
18.0,6,225.0,105.0,3613,16.5,51
30.9,4,105.0,75.0,2230,14.5,47
39.1,4,79.0,58.0,1755,16.9,44
15.0,8,383.0,170.0,3563,10.0,55
26.0,4,97.0,46.0,1835,20.5,55
25.0,4,140.0,75.0,2542,17.0,51
27.0,4,97.0,88.0,2130,14.5,55
14.0,8,454.0,220.0,4354,9.0,55
18.0,4,121.0,112.0,2933,14.5,53
16.0,8,302.0,140.0,4141,14.0,51
18.5,6,250.0,110.0,3645,16.2,49
23.0,4,115.0,95.0,2694,15.0,50
25.8,4,156.0,92.0,2620,14.4,44
19.0,6,225.0,100.0,3630,17.7,48
22.0,6,250.0,105.0,3353,14.5,49
25.0,4,104.0,95.0,2375,17.5,55
23.9,4,119.0,97.0,2405,14.9,47
19.0,6,156.0,108.0,2930,15.5,49
19.2,6,231.0,105.0,3535,19.2,47
15.0,6,250.0,100.0,3336,17.0,51
18.0,6,250.0,78.0,3574,21.0,49
37.3,4,91.0,69.0,2130,14.7,46
18.6,6,225.0,110.0,3620,18.7,47
16.0,8,400.0,180.0,4220,11.1,48
19.4,8,318.0,140.0,3735,13.2,47
33.5,4,98.0,83.0,2075,15.9,48
27.2,4,119.0,97.0,2300,14.7,47
19.2,8,305.0,145.0,3425,13.2,47
10.0,8,307.0,200.0,4376,15.0,55
18.0,6,250.0,88.0,3021,16.5,52
16.5,6,168.0,120.0,3820,16.7,49
26.6,4,151.0,84.0,2635,16.4,44
23.5,6,173.0,110.0,2725,12.6,44
35.7,4,98.0,80.0,1915,14.4,46
31.0,4,91.0,68.0,1970,17.6,43
34.0,4,112.0,88.0,2395,18.0,43
43.1,4,90.0,48.0,1985,21.5,47
13.0,8,350.0,150.0,4699,14.5,51
16.0,8,318.0,150.0,4498,14.5,50
39.0,4,86.0,64.0,1875,16.4,44
22.3,4,140.0,88.0,2890,17.3,46
36.1,4,98.0,66.0,1800,14.4,47
14.0,8,318.0,150.0,4096,13.0,54
22.0,6,232.0,112.0,2835,14.7,43
20.0,4,130.0,102.0,3150,15.7,49
17.0,8,302.0,140.0,3449,10.5,55
24.0,4,120.0,97.0,2489,15.0,51
33.8,4,97.0,67.0,2145,18.0,45
26.0,4,121.0,113.0,2234,12.5,55
19.0,6,225.0,95.0,3264,16.0,50
23.0,4,120.0,97.0,2506,14.5,53
13.0,8,302.0,140.0,4294,16.0,53
28.0,4,140.0,90.0,2264,15.5,54
27.0,4,97.0,88.0,2100,16.5,53
28.8,6,173.0,115.0,2595,11.3,46
23.0,4,140.0,78.0,2592,18.5,50
17.5,8,305.0,145.0,3880,12.5,48
26.0,4,122.0,80.0,2451,16.5,51
17.0,8,304.0,150.0,3672,11.5,53
27.4,4,121.0,80.0,2670,15.0,46
26.6,8,350.0,105.0,3725,19.0,44
14.0,8,318.0,150.0,4237,14.5,52
26.0,4,91.0,70.0,1955,20.5,54
28.0,4,107.0,86.0,2464,15.5,49
23.2,4,156.0,105.0,2745,16.7,47
13.0,8,302.0,129.0,3169,12.0,50
17.5,8,318.0,140.0,4080,13.7,47
28.1,4,141.0,80.0,3230,20.4,44
15.0,8,350.0,145.0,4082,13.0,52
22.0,4,121.0,98.0,2945,14.5,50
21.0,4,122.0,86.0,2226,16.5,53
27.0,4,151.0,90.0,2950,17.3,43
26.5,4,140.0,72.0,2565,13.6,49
20.0,6,232.0,100.0,2914,16.0,50
39.4,4,85.0,70.0,2070,18.6,47
26.4,4,140.0,88.0,2870,18.1,45
22.5,6,232.0,90.0,3085,17.6,49
18.0,8,318.0,150.0,3436,11.0,55
18.5,6,250.0,98.0,3525,19.0,48
20.5,6,225.0,100.0,3430,17.2,47
16.0,6,250.0,100.0,3278,18.0,52
24.0,4,107.0,90.0,2430,14.5,55
17.0,8,305.0,130.0,3840,15.4,46
17.0,6,163.0,125.0,3140,13.6,47
23.8,4,151.0,85.0,2855,17.6,47
41.5,4,98.0,76.0,2144,14.7,45
38.1,4,89.0,60.0,1968,18.8,45
27.0,4,101.0,83.0,2202,15.3,49
26.0,4,116.0,75.0,2246,14.0,51
19.0,4,122.0,85.0,2310,18.5,52
34.2,4,105.0,70.0,2200,13.2,46
25.0,4,97.5,80.0,2126,17.0,53
16.5,8,350.0,180.0,4380,12.1,49
14.0,8,400.0,175.0,4385,12.0,53
31.0,4,76.0,52.0,1649,16.5,51
28.0,4,97.0,75.0,2155,16.4,49
30.0,4,79.0,70.0,2074,19.5,54
20.5,6,231.0,105.0,3425,16.9,48
14.0,8,318.0,150.0,4457,13.5,51
27.2,4,135.0,84.0,2490,15.7,44
20.6,6,225.0,110.0,3360,16.6,46
18.1,8,302.0,139.0,3205,11.2,47
36.0,4,135.0,84.0,2370,13.0,43
16.0,8,351.0,149.0,4335,14.5,48
29.0,4,135.0,84.0,2525,16.0,43
26.0,4,97.0,46.0,1950,21.0,52
36.4,5,121.0,67.0,2950,19.9,45
21.6,4,121.0,115.0,2795,15.7,47
25.0,6,181.0,110.0,2945,16.4,43
18.0,6,199.0,97.0,2774,15.5,55
25.4,6,168.0,116.0,2900,12.6,44
15.5,8,318.0,145.0,4140,13.7,48
14.0,8,350.0,165.0,4209,12.0,54
19.0,6,232.0,90.0,3211,17.0,50
19.4,6,232.0,90.0,3210,17.2,47
36.0,4,120.0,88.0,2160,14.5,43
26.0,4,97.0,75.0,2265,18.2,48
31.0,4,71.0,65.0,1773,19.0,54
29.8,4,89.0,62.0,1845,15.3,45
36.0,4,107.0,75.0,2205,14.5,43
25.4,5,183.0,77.0,3530,20.1,46
24.0,4,140.0,92.0,2865,16.4,43
18.0,6,250.0,105.0,3459,16.0,50
29.5,4,97.0,71.0,1825,12.2,49
32.0,4,91.0,67.0,1965,15.7,43
21.5,4,121.0,110.0,2600,12.8,48
33.7,4,107.0,75.0,2210,14.4,44
12.0,8,350.0,180.0,4499,12.5,52
22.0,6,225.0,100.0,3233,15.4,49
38.0,6,262.0,85.0,3015,17.0,43
32.0,4,144.0,96.0,2665,13.9,43
12.0,8,350.0,160.0,4456,13.5,53
36.0,4,79.0,58.0,1825,18.6,48
23.0,4,122.0,86.0,2220,14.0,54
38.0,4,105.0,63.0,2125,14.7,43
18.0,6,225.0,105.0,3121,16.5,52
19.0,3,70.0,97.0,2330,13.5,53
34.3,4,97.0,78.0,2188,15.8,45
24.5,4,151.0,88.0,2740,16.0,48
28.0,4,97.0,92.0,2288,17.0,53
31.9,4,89.0,71.0,1925,14.0,46
29.0,4,90.0,70.0,1937,14.2,49
19.2,8,267.0,125.0,3605,15.0,46
14.0,8,318.0,150.0,4077,14.0,53
28.4,4,151.0,90.0,2670,16.0,46
13.0,8,360.0,175.0,3821,11.0,52
19.0,4,121.0,112.0,2868,15.5,52
13.0,8,351.0,158.0,4363,13.0,52
26.0,4,96.0,69.0,2189,18.0,53
24.0,4,90.0,75.0,2108,15.5,51
27.0,4,112.0,88.0,2640,18.6,43
22.4,6,231.0,110.0,3415,15.8,44
26.8,6,173.0,115.0,2700,12.9,46
18.2,8,318.0,135.0,3830,15.2,46
13.0,8,350.0,145.0,3988,13.0,52
27.0,4,97.0,88.0,2130,14.5,54
37.0,4,119.0,92.0,2434,15.0,45
14.0,8,302.0,137.0,4042,14.5,52
13.0,8,318.0,150.0,3940,13.2,49
19.0,6,250.0,88.0,3302,15.5,54
25.0,4,121.0,115.0,2671,13.5,50
24.2,6,146.0,120.0,2930,13.8,44
25.0,4,110.0,87.0,2672,17.5,55
13.0,8,350.0,145.0,4055,12.0,49
13.0,8,318.0,150.0,3755,14.0,49
38.0,4,91.0,67.0,1995,16.2,43
14.0,8,340.0,160.0,3609,8.0,55
15.0,8,302.0,130.0,4295,14.9,48
32.3,4,97.0,67.0,2065,17.8,44
18.0,6,225.0,95.0,3785,19.0,50
27.2,4,141.0,71.0,3190,24.8,46
21.0,4,120.0,87.0,2979,19.5,53
22.0,4,108.0,94.0,2379,16.5,52
21.0,6,155.0,107.0,2472,14.0,52
16.0,8,400.0,230.0,4278,9.5,52
18.0,6,171.0,97.0,2984,14.5,50
21.1,4,134.0,95.0,2515,14.8,47
12.0,8,400.0,167.0,4906,12.5,52
11.0,8,318.0,210.0,4382,13.5,55
14.0,8,400.0,175.0,4464,11.5,54
21.0,6,199.0,90.0,2648,15.0,55
31.0,4,112.0,85.0,2575,16.2,43
17.5,8,305.0,140.0,4215,13.0,49
13.0,8,350.0,175.0,4100,13.0,52
14.5,8,351.0,152.0,4215,12.8,49
28.0,4,120.0,79.0,2625,18.6,43
14.0,8,302.0,140.0,4638,16.0,51
16.0,8,304.0,150.0,3433,12.0,55
18.1,6,258.0,120.0,3410,15.1,47
32.4,4,107.0,72.0,2290,17.0,45
37.7,4,89.0,62.0,2050,17.3,44
13.0,8,350.0,155.0,4502,13.5,53
26.0,4,98.0,79.0,2255,17.7,49
16.5,8,351.0,138.0,3955,13.2,46
25.0,4,90.0,71.0,2223,16.5,50
15.5,8,350.0,170.0,4165,11.4,48
26.0,4,79.0,67.0,1963,15.5,51
33.5,4,85.0,70.0,1945,16.8,48
31.0,4,79.0,67.0,2000,16.0,51
25.0,4,116.0,81.0,2220,16.9,49
20.2,6,200.0,88.0,3060,17.1,44
14.0,8,351.0,153.0,4154,13.5,54
17.0,8,260.0,110.0,4060,19.0,48
17.0,6,231.0,110.0,3907,21.0,50
18.5,8,360.0,150.0,3940,13.0,46
35.0,4,122.0,88.0,2500,15.1,45
24.5,4,98.0,60.0,2164,22.1,49
30.0,4,88.0,76.0,2065,14.5,54
28.0,4,98.0,80.0,2164,15.0,53
27.0,4,140.0,86.0,2790,15.6,43
19.8,6,200.0,85.0,2990,18.2,46
17.6,8,302.0,129.0,3725,13.4,46
16.0,8,400.0,170.0,4668,11.5,50
18.0,8,307.0,130.0,3504,12.0,55
30.5,4,98.0,63.0,2051,17.0,48
13.0,8,302.0,130.0,3870,15.0,49
13.0,8,360.0,170.0,4654,13.0,52
18.0,6,250.0,88.0,3139,14.5,54
28.0,4,116.0,90.0,2123,14.0,54
13.0,8,307.0,130.0,4098,14.0,53
24.0,4,121.0,110.0,2660,14.0,52
31.0,4,79.0,67.0,1950,19.0,51
28.0,4,112.0,88.0,2605,19.6,43
23.0,4,97.0,54.0,2254,23.5,53
14.0,8,440.0,215.0,4312,8.5,55
15.5,8,304.0,120.0,3962,13.9,49
44.0,4,97.0,52.0,2130,24.6,43
20.0,8,262.0,110.0,3221,13.5,50
15.0,6,250.0,72.0,3158,19.5,50
23.0,4,140.0,83.0,2639,17.0,50
15.0,8,350.0,145.0,4440,14.0,50
15.0,8,429.0,198.0,4341,10.0,55
21.5,6,231.0,115.0,3245,15.4,46
29.5,4,98.0,68.0,2135,16.6,47
